m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
28.660595,27.362617,-25.639803,-18.565678,-0.39344358,2.0433526,2.219088,21.079903,-41.596596,-23.695732,-23.577368,1.5373724,0.6605286,-2.1963692,19.925634,-36.507385,19.822906,47.930786,-0.15814131,0.15452899,-0.15075219,89
25.36453,-6.9492455,-4.2226334,43.353325,-1.885322,1.1727679,0.7084969,21.290342,-7.1578217,47.447044,-12.39341,-1.7200797,-2.3677354,0.055506058,20.691689,10.282742,0.39094162,28.199455,0.53219557,1.0775871,3.673211,22
21.327456,-6.804878,24.961182,1.6306953,0.25214,0.2294947,0.5216238,24.456839,-1.2692375,-27.841843,1.799202,0.22067691,-0.11859691,0.01951077,17.932957,-40.396626,49.707085,-26.267433,-2.2072947,-0.4314828,-2.0910401,23
26.714441,-29.605288,-3.1256905,33.726128,-0.19172378,-0.17246892,-0.12479937,22.049517,23.536537,37.707176,16.405914,0.64882106,0.7339482,0.21983166,21.559454,-26.87984,-47.476215,17.7957,-1.341933,0.96775013,-0.67141116,215
22.357904,-8.764206,-17.629807,45.993225,-1.3826141,0.34732988,-1.2606329,18.168644,35.821846,25.94963,6.545555,-1.0210875,1.0155816,-0.5033384,24.697697,18.311188,-12.571018,11.516399,-0.60875463,-1.6201811,-3.2243996,30
16.494205,37.214188,-6.815605,0.54673386,-1.395278,-0.35067996,-1.4761325,10.266573,-40.9702,14.896683,-21.396273,-0.63619095,0.1588004,-0.6718965,18.980211,-20.689219,-49.974297,-44.77677,0.28999352,-0.49183232,-0.4242283,38
27.83787,-42.39914,32.252815,3.263958,-1.2258073,1.9392153,-2.138871,25.024677,-41.673023,40.396294,45.58631,-0.46546134,-0.35061613,0.1711382,17.312588,8.271069,-18.57702,-27.588923,-2.0729916,0.011164999,1.6490619,1028
19.175901,-2.8713837,33.530197,38.653023,-2.512061,0.6450898,1.133299,28.734724,-34.63065,-37.070614,-45.176254,-0.37811747,-1.5640439,-0.53579754,14.249418,-39.841545,46.84433,37.612045,1.2743052,0.20408416,1.9028426,8
26.768732,-44.8589,-37.32537,-2.845955,-0.6211972,2.1131015,2.138628,19.243837,-4.3213654,49.93724,37.20965,0.08106929,-0.07099959,-0.013117621,28.196928,-0.91223145,6.4262466,-7.535713,0.14570788,2.8998663,0.067212634,240
16.62053,-43.91057,-12.351044,-29.037046,-0.91993237,0.1651516,-0.43546438,22.834328,-0.19301224,-29.254372,-5.6255646,-2.497539,-1.3862336,-1.2406487,22.788754,-19.383562,-46.614204,49.66607,0.45491314,-0.049124725,-0.4576704,66
16.375721,-47.26273,-34.851616,11.360382,1.2198862,1.6069455,0.24257357,20.11811,21.198975,0.0411644,3.6265373,1.6251725,1.5004609,0.66820943,27.40442,-3.3382874,13.081997,-8.1077385,-1.332112,-0.091265716,-2.313784,27
21.937008,5.2338905,-19.686396,39.593353,0.123030685,0.0012061998,0.025798371,22.867031,-41.140884,-28.49545,-43.8425,1.5519391,-2.0103602,1.632714,21.524036,-7.9199677,-35.937935,-33.314796,1.2232882,-0.3258118,1.1528343,32
28.529612,19.687859,-22.539728,-24.852306,0.6985927,0.73778236,-0.89075214,29.781397,30.64225,48.157997,-9.029293,0.2868395,2.928596,-0.84529495,12.606019,7.4742966,4.474663,12.211609,1.5284328,2.0576959,-1.6730797,30
11.753363,40.222122,-38.054688,30.225853,-2.363502,0.85816157,2.644733,25.805828,24.373993,-17.874844,41.610855,-1.1400598,1.6021024,-1.7262746,17.578682,46.705368,-9.785061,-10.016407,0.2499826,0.5757067,0.086976804,9
27.642704,-25.745106,-31.747341,-11.379086,1.0834284,-2.0383894,-0.8054533,21.576536,26.065834,30.539307,8.528584,1.6712046,1.3660294,-1.1216207,20.492302,21.811813,28.62658,-4.1142807,2.9916282,-1.0032219,2.7084153,3
18.903713,-11.964333,-31.908178,33.948296,2.4035451,0.47978783,-0.2822037,26.364311,-14.6405525,21.80156,45.368103,2.4414294,0.4214012,1.1391562,15.428134,6.2970085,-33.918877,-27.33389,0.29937494,-0.27371493,0.22526683,42
15.405159,12.596554,38.027565,48.9578,2.22927,-1.8024583,2.5388908,11.51585,-20.107937,0.21567535,49.997795,0.77582,1.1110749,-0.98824537,13.034771,6.770355,42.812256,42.92952,0.1861,4.1583376,1.2931638,23
28.740028,25.025291,4.054802,-34.71347,1.2470067,0.015717993,-1.1170245,18.845577,-36.200203,-25.768215,-23.463053,1.4620829,-0.01116861,-3.7472682,28.890982,-49.983955,8.61512,-46.96594,0.11726341,1.4362633,-1.1459798,34
29.109135,-10.411793,41.299423,-19.888962,1.2667692,-0.707463,1.2829077,15.186569,40.51043,-17.853397,1.61063,-1.3808113,1.814623,1.7213476,29.408333,5.9458923,-44.143147,-19.805687,1.3472497,-1.2882506,1.8031968,178
28.770527,-26.271963,11.113377,49.200455,-0.5230394,-0.38785768,-0.18439156,15.057224,21.610779,18.341263,-42.53749,-0.39388976,1.229198,-1.5906854,21.949692,30.932579,10.313057,-15.187199,-1.0813332,2.6834679,2.7766714,2
29.26086,-28.239405,-42.027092,36.365273,-0.39290562,0.19593474,0.22983634,28.697989,-3.708603,20.235184,-15.926083,-0.11140445,0.11077596,0.13309684,19.911877,-43.346024,16.260468,2.157318,-0.34650525,2.2244081,2.6174095,31
29.217136,-19.92839,6.4008064,18.85373,-0.33033302,-0.05740145,-0.082648985,14.517188,4.276573,-19.95042,-49.85395,-2.568417,2.4425304,0.7655743,22.912949,-18.757885,11.203033,-40.012188,1.2241392,1.0011272,-2.5713384,9
21.481646,25.431877,-38.415497,43.97722,-1.218597,0.87826353,-0.29603788,21.814026,-46.954792,-27.787018,14.586586,-0.6365462,-0.65906435,0.36179352,24.221409,-40.439064,9.401302,-25.808102,0.8143504,-0.9943758,0.9752949,162
19.976866,33.551903,39.890358,-49.78821,0.4378103,0.15678784,-0.9431162,11.430717,48.208794,-9.109432,-27.655006,0.23589058,0.55948263,-1.1302333,20.89269,-34.971756,-7.1360245,-28.091055,1.6641878,0.51002383,-0.453417,21
10.662108,-44.34767,44.294662,-25.053429,-1.8697878,-1.5166677,-0.46113405,21.754799,19.140526,-35.352345,27.064537,-1.0196763,1.341096,0.5402595,10.518419,-34.708374,38.644608,26.47499,-0.59360546,2.3531752,0.3651667,19
19.98546,30.970367,-47.753025,20.952316,0.06558064,-1.2978305,-0.10967964,21.883244,-21.83615,38.189903,-28.894949,1.1100273,-1.8348126,1.822285,29.77359,-28.898514,-30.543577,-9.832256,-0.13659218,-0.60952234,0.61525726,31
14.804604,-33.293686,-25.520044,36.40152,0.97597647,1.1582054,1.1158621,12.051598,6.1883316,-35.11997,25.931267,0.58820516,-0.42033547,0.5687777,24.995861,-28.122229,4.0461197,-36.590725,0.19829242,2.1626096,0.3810896,83
29.20286,39.380714,30.246574,42.4776,-0.75626874,0.27390143,-1.652616,11.671967,-32.799088,-4.6772537,11.916725,0.16475509,0.9353205,1.2270849,20.08879,40.38983,34.723053,-43.854595,2.2397985,0.5049443,-1.5996904,64
11.850018,37.488068,11.258835,-28.034294,1.965164,-0.52645904,-3.8127477,29.598717,2.5545654,2.4922295,10.56834,-0.03806064,-0.06330592,-0.06901473,28.882404,44.442078,-32.594704,-42.07702,-0.4310569,-0.44992217,0.29975757,26
24.833637,-48.225506,33.941605,-17.977768,0.26906282,0.50601137,1.907107,17.020226,42.57473,42.39746,29.912445,0.4942627,-1.6983147,-0.83461475,14.497068,16.45111,14.969543,-28.578537,0.05060957,-0.6400789,0.61215025,356
16.376389,20.385254,15.058838,23.631004,0.40543386,-0.32544002,-0.2826673,10.026707,5.700695,-3.3974152,35.187935,0.29727414,-0.1855951,0.093158916,22.699535,-48.254417,-45.053574,-40.380222,-1.2050956,0.19567642,-1.3834543,11
17.650974,48.57099,2.8805084,36.458435,1.5953091,-1.0850041,-0.80911154,23.895306,10.176613,-31.683605,34.953568,1.6970176,-0.9075918,1.0414157,20.33179,-41.88097,-44.69628,42.850784,-0.5013164,0.6693176,-0.39122292,336
29.575315,-1.2352448,-19.402664,14.982483,0.12521732,0.16282763,0.17922747,25.557098,-0.5029793,-47.372395,31.3609,-4.3122425,-0.16278362,1.245307,25.025545,2.5069466,-25.34613,46.80327,-4.321287,-2.6564848,-2.5861144,14
19.329605,-22.406696,10.814209,30.54049,0.5798097,-0.6335092,-0.58698606,23.801018,-33.713394,18.00119,1.2204094,-2.448444,-0.52922726,-3.7885046,22.07388,-33.01143,32.00058,42.29355,-1.5447544,3.7399552,1.0401256,190
28.750212,23.148903,-0.06757355,40.31698,0.27374554,2.686438,-2.383494,15.510185,-3.4668427,-28.87798,-19.320847,-1.3092691,0.21945757,0.1911488,19.115368,21.88012,-24.759573,39.053574,-0.909914,2.355198,1.0161729,44
10.228334,-41.268944,-28.941553,33.358963,1.5960623,-1.328061,-1.8611859,17.170258,-48.913662,2.7921867,-22.261822,1.5762734,-0.4968028,1.2085509,23.92327,15.466621,-37.953144,15.2541275,0.05978137,-0.39934063,0.36503616,709
28.010078,13.089729,-49.306847,-32.27551,-0.9015041,-0.48257944,0.5205955,24.16186,10.732067,-32.493248,15.639725,0.49587736,-0.55695224,-0.17577083,12.016544,-45.554672,-21.815598,22.886948,-1.1541873,-1.1838087,1.5280391,17
26.451246,-40.704983,-10.700901,6.341736,1.9945889,0.726256,-2.6804674,26.319534,-41.867702,-2.8518066,-33.99706,1.382307,-1.8187349,-2.680168,20.234472,48.992714,-15.485607,20.95385,-1.590705,-1.9478498,-0.50215566,10
13.764078,48.744606,-35.09321,-9.805607,0.64559853,0.60640746,-0.6772386,15.09964,43.652412,-37.14672,1.2139664,-1.9821954,0.036316395,-3.575374,10.207883,22.20552,28.78785,1.6067963,0.1284576,0.60668266,0.0868605,76
13.441561,-25.609135,26.050293,-33.168564,-0.9801674,-0.9437394,1.2103958,15.515834,-13.795441,0.967823,36.297028,-0.026032858,-0.8497067,-0.696261,24.085796,24.68206,-42.398487,24.366287,0.813514,-0.6767563,-0.89099705,35
20.946688,19.195,26.77729,-0.09251785,-0.28230274,-0.44376847,0.718936,13.312599,-10.20649,-26.830894,47.242714,0.9728133,-0.50362015,1.9238555,13.087627,23.54718,-10.886948,-29.79108,0.047509193,-0.48359966,-2.4541867,2795
15.28222,10.107559,7.4636116,-32.087418,0.11859873,2.401563,2.6840248,29.574564,-8.064251,26.682144,-15.990372,-0.21593142,-0.011148453,-0.36825275,22.462393,-26.313644,-2.3770523,13.208382,-0.6796222,-1.8816276,0.6438184,57
26.469593,-44.1405,39.559784,-25.772976,0.6406119,-0.039278254,0.9940874,13.321997,11.116909,5.4469757,-41.1333,-0.6288528,-0.6655188,0.8410145,22.971256,-14.465378,8.513386,-14.252819,0.6112101,-2.8454876,-1.810624,82
20.46568,6.3311043,22.275146,-3.2917786,3.2985344,-3.1090212,1.422679,25.136822,-20.632654,7.8716087,-36.433403,-0.34151998,0.34815335,-0.2978554,22.259233,42.48368,26.29396,-2.6110115,-1.1392264,-1.1338484,1.4697051,11
17.267614,-0.9449959,-15.804554,38.50759,2.2747095,0.6975378,2.4242835,18.60877,27.762238,21.673813,23.545418,0.5973287,1.1086105,-2.2733471,28.744883,44.114426,-27.386225,39.872345,-0.94793856,0.74209803,-0.947479,389
